city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_relative_humidity_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-06 06:33,2026-05-06 17:34,2026-05-06 11:00,10.2,56,0.0,0.0,0.0,0.0,0,0,13.1,303
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-06 04:44,2026-05-06 18:31,2026-05-06 18:00,18.4,82,0.0,0.0,0.0,0.0,3,92,5.8,184
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-06 06:33,2026-05-06 20:33,2026-05-06 10:00,16.4,62,0.0,0.0,0.0,0.0,2,60,12.6,360
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-06 07:05,2026-05-06 17:28,2026-05-06 19:00,12.9,90,1.0,0.1,0.9,0.0,63,99,18.6,255
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-06 05:22,2026-05-06 17:10,2026-05-06 06:00,26.1,76,0.0,0.0,0.0,0.0,1,38,14.3,155
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-06 07:33,2026-05-06 18:06,2026-05-06 06:00,19.2,91,0.0,0.0,0.0,0.0,2,55,9.6,37
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-06 06:52,2026-05-06 19:59,2026-05-06 05:00,23.3,90,0.0,0.0,0.0,0.0,0,3,5.8,146
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-06 05:58,2026-05-06 19:40,2026-05-06 02:00,12.3,81,0.0,0.0,0.0,0.0,0,3,7.0,69
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-06 05:35,2026-05-06 20:12,2026-05-06 12:00,18.1,35,0.0,0.0,0.0,0.0,1,42,8.0,188
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-06 07:02,2026-05-06 19:17,2026-05-06 17:00,27.7,82,0.2,0.1,0.1,0.0,53,100,1.5,256
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-06 04:58,2026-05-06 18:41,2026-05-06 13:30,24.1,27,0.0,0.0,0.0,0.0,0,2,7.8,356
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-06 05:47,2026-05-06 18:07,2026-05-06 09:00,28.6,75,0.1,0.0,0.1,0.0,51,100,13.6,235
