city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-10 06:36,2026-05-10 17:31,2026-05-10 11:30,16.9,0.0,0.0,0.0,0.0,0,18.2,340
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-10 04:40,2026-05-10 18:34,2026-05-10 18:30,19.1,0.0,0.0,0.0,0.0,0,7.6,175
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-10 06:28,2026-05-10 20:36,2026-05-10 10:30,16.5,0.0,0.0,0.0,0.0,3,22.0,212
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-10 07:09,2026-05-10 17:24,2026-05-10 19:30,13.9,0.0,0.0,0.0,0.0,0,4.6,201
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-10 05:22,2026-05-10 17:09,2026-05-10 06:30,24.8,0.1,0.1,0.0,0.0,51,8.1,162
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-10 07:36,2026-05-10 18:03,2026-05-10 06:30,5.8,0.0,0.0,0.0,0.0,0,14.2,261
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-10 06:50,2026-05-10 20:01,2026-05-10 05:30,24.4,0.0,0.0,0.0,0.0,2,7.8,176
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-10 05:54,2026-05-10 19:43,2026-05-10 02:30,14.9,0.0,0.0,0.0,0.0,3,1.0,135
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-10 05:29,2026-05-10 20:17,2026-05-10 12:30,13.2,0.0,0.0,0.0,0.0,61,4.7,122
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-10 07:02,2026-05-10 19:17,2026-05-10 17:30,26.4,0.1,0.1,0.0,0.0,51,5.7,24
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-10 04:54,2026-05-10 18:44,2026-05-10 14:00,25.8,0.1,0.0,0.1,0.0,51,3.5,279
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-10 05:46,2026-05-10 18:08,2026-05-10 09:30,30.3,0.0,0.0,0.0,0.0,3,10.4,225
