city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-01 06:16,2026-04-01 18:05,2026-04-01,25.1,0.4,0.3,0.1,0.0,51,9.7,2
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-02 06:17,2026-04-02 18:04,2026-04-02,26.5,0.0,0.0,0.0,0.0,2,12.0,103
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-03 06:17,2026-04-03 18:03,2026-04-03,24.0,0.0,0.0,0.0,0.0,3,9.3,81
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-01 05:28,2026-04-01 18:02,2026-04-01,16.2,15.4,15.4,0.0,0.0,63,7.2,20
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-02 05:26,2026-04-02 18:03,2026-04-02,16.1,22.8,22.8,0.0,0.0,63,12.9,345
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-03 05:25,2026-04-03 18:03,2026-04-03,18.3,0.0,0.0,0.0,0.0,1,9.2,209
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-01 07:21,2026-04-01 19:59,2026-04-01,23.7,0.0,0.0,0.0,0.0,0,20.4,23
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-02 07:19,2026-04-02 20:00,2026-04-02,22.8,0.0,0.0,0.0,0.0,2,20.2,342
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-03 07:17,2026-04-03 20:01,2026-04-03,24.5,0.0,0.0,0.0,0.0,1,12.3,2
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-01 06:33,2026-04-01 18:14,2026-04-01,28.0,0.0,0.0,0.0,0.0,3,21.6,355
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-02 06:34,2026-04-02 18:12,2026-04-02,23.6,0.0,0.0,0.0,0.0,3,12.9,199
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-03 06:35,2026-04-03 18:11,2026-04-03,17.1,1.7,0.8,0.9,0.0,53,16.2,187
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-01 05:22,2026-04-01 17:24,2026-04-01,27.1,23.0,9.1,13.9,0.0,81,11.0,115
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-02 05:22,2026-04-02 17:23,2026-04-02,28.8,4.1,1.9,2.2,0.0,55,10.8,111
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-03 05:22,2026-04-03 17:23,2026-04-03,29.6,2.1,0.7,1.4,0.0,53,14.8,134
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-01 07:06,2026-04-01 18:48,2026-04-01,26.0,9.8,1.8,8.0,0.0,80,13.9,38
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-02 07:07,2026-04-02 18:47,2026-04-02,27.5,2.2,0.2,2.0,0.0,80,8.7,93
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-03 07:07,2026-04-03 18:45,2026-04-03,31.0,7.7,4.1,3.6,0.0,81,14.4,260
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-01 07:21,2026-04-01 19:45,2026-04-01,28.7,1.0,0.3,0.7,0.0,53,21.1,82
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-02 07:20,2026-04-02 19:45,2026-04-02,29.3,0.0,0.0,0.0,0.0,3,21.3,85
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-03 07:19,2026-04-03 19:45,2026-04-03,29.8,0.5,0.0,0.5,0.0,51,19.1,87
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-01 06:39,2026-04-01 19:13,2026-04-01,21.8,0.7,0.7,0.0,0.0,53,17.7,259
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-02 06:38,2026-04-02 19:14,2026-04-02,22.3,0.0,0.0,0.0,0.0,3,16.9,265
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-03 06:36,2026-04-03 19:15,2026-04-03,26.8,0.0,0.0,0.0,0.0,3,14.0,287
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-01 06:36,2026-04-01 19:25,2026-04-01,13.4,3.1,1.8,1.3,0.0,80,13.0,293
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-02 06:34,2026-04-02 19:26,2026-04-02,11.5,0.8,0.8,0.0,0.0,61,9.9,39
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-03 06:32,2026-04-03 19:27,2026-04-03,12.9,0.5,0.5,0.0,0.0,61,8.9,53
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-01 07:12,2026-04-01 19:21,2026-04-01,30.0,12.6,2.7,9.9,0.0,81,11.1,329
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-02 07:12,2026-04-02 19:21,2026-04-02,34.2,0.6,0.6,0.0,0.0,51,10.9,68
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-03 07:12,2026-04-03 19:21,2026-04-03,34.2,0.0,0.0,0.0,0.0,3,8.5,329
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-01 05:40,2026-04-01 18:13,2026-04-01,13.6,3.5,3.0,0.5,0.0,53,11.8,12
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-02 05:38,2026-04-02 18:14,2026-04-02,10.2,12.1,9.0,3.1,0.0,55,9.0,346
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-03 05:37,2026-04-03 18:15,2026-04-03,8.4,28.9,25.3,3.6,0.0,63,10.3,1
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-01 05:59,2026-04-01 18:09,2026-04-01,29.9,0.0,0.0,0.0,0.0,3,11.3,225
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-02 05:59,2026-04-02 18:09,2026-04-02,33.1,16.2,1.1,15.1,0.0,95,11.4,217
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-03 05:58,2026-04-03 18:09,2026-04-03,29.9,8.2,1.5,6.7,0.0,81,15.7,177
